t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,action0,action1,action2,M,B,K
0.07,0.5236069279909135,2.0943893444538118,0.0002044193204710609,-0.00015061269814395928,-0.0014487994,0.0003073035,-1.32686056986131e-06,0.2500012218952179,-3.2278574053634657e-05,3.2608379569865065e-05,0.00577840801270213,0.0,-0.12661642,-0.05921776,0.74632,4.930226117372513,235.19556038081646,1746.3200092315674
0.07100000000000001,0.523607115149498,2.0943893444538118,0.00020611770123650784,-0.00015228239226416918,-0.0014703955,0.00031170782,-1.3592424465969088e-06,0.25000128149986267,-3.2494469905941514e-05,3.2969874155241996e-05,0.0058625177189242095,0.0,-0.1266172,-0.05921825,0.7463194,4.9302226305007935,235.1954374462366,1746.3194131851196
0.07200000000000001,0.5236073490977288,2.094389157295227,0.00020779332116944714,-0.0001539431476885511,-0.0014919839,0.00031611373,-1.3918379409005865e-06,0.25000131130218506,-3.2705790999898454e-05,3.33294292431674e-05,0.005946607780060731,0.0,-0.126618,-0.059218742,0.74631894,4.930219009518623,235.19531451165676,1746.3189363479614
0.073,0.5236075362563134,2.0943889701366425,0.0002094465800837497,-0.0001555949929752387,-0.0015135647,0.00032052118,-1.4246425052988343e-06,0.25000134110450745,-3.291263737992267e-05,3.368705620232504e-05,0.006030679287505336,0.0,-0.12661879,-0.05921928,0.74631834,4.930215455591679,235.19518040120602,1746.3183403015137
0.074,0.5236077702045441,2.094388782978058,0.00021107789207235327,-0.0001572380137986329,-0.0015351382,0.00032493015,-1.4576518196918187e-06,0.25000137090682983,-3.31151022692211e-05,3.40427709488722e-05,0.006114732241258025,0.0,-0.12661958,-0.0592198,0.74631774,4.930211901664734,235.19505001604557,1746.317744255066
0.075,0.5236079573631287,2.0943885958194732,0.00021268768550726234,-0.00015887223871686727,-0.0015567045,0.00032934066,-1.4908613366060308e-06,0.2500014007091522,-3.331328343847417e-05,3.4396587125229416e-05,0.0061987673689145595,0.0,-0.12662037,-0.05922032,0.7463171,4.930208347737789,235.19491963088512,1746.3170886039734
0.076,0.5236081913113594,2.0943884086608886,0.0002142763316442142,-0.0001604977534043428,-0.0015782638,0.0003337527,-1.5242669633153128e-06,0.2500014305114746,-3.3507267289678566e-05,3.4748513826343697e-05,0.006282784306677058,0.0,-0.12662116,-0.059220828,0.74631655,4.930204793810844,235.19479297101498,1746.3165521621704
0.077,0.5236084252595902,2.094388221502304,0.00021584423029707978,-0.0001621146006982599,-0.0015998164,0.0003381662,-1.5578644934066688e-06,0.250001460313797,-3.369714704604121e-05,3.5098562420898816e-05,0.006366784509737045,0.0,-0.12662196,-0.059221342,0.74631596,4.930201172828674,235.19466444849968,1746.3159561157227
0.078,0.5236086124181748,2.094388221502304,0.00021739172416346264,-0.0001637228091567522,-0.0016213622,0.00034258116,-1.5916499478407786e-06,0.2500015199184418,-3.388300910955877e-05,3.544674200384179e-05,0.006450767978094518,0.0,-0.12662274,-0.05922184,0.74631536,4.930197685956955,235.19453965127468,1746.315360069275
0.079,0.5236088463664055,2.09438803434372,0.0002189192130572337,-0.00016532243589608697,-0.0016429016,0.0003469976,-1.625619347578322e-06,0.25000154972076416,-3.406493988222792e-05,3.5793063943856396e-05,0.006534735439345241,0.0,-0.12662351,-0.059222363,0.7463148,4.930194199085236,235.19440926611423,1746.314823627472
0.08,0.5236090803146363,2.094387847185135,0.00022042702539692982,-0.00016691352375346468,-0.0016644346,0.00035141548,-1.6597687135799788e-06,0.25000157952308655,-3.4243023492308566e-05,3.613753278841614e-05,0.00661868616589345,0.0,-0.12662435,-0.059222914,0.74631417,4.930190443992615,235.1942714303732,1746.3141679763794
0.081,0.5236092674732209,2.0943876600265505,0.0002219155324382882,-0.00016849608700795216,-0.0016859614,0.0003558348,-1.6940941804932663e-06,0.25000160932540894,-3.441733952058712e-05,3.6480162179941544e-05,0.00670262161293067,0.0,-0.1266251,-0.059223436,0.7463136,4.930187024176121,235.19414104521275,1746.3135719299316
0.082,0.5236095014214516,2.094387472867966,0.00022338504832077887,-0.00017007018277581665,-0.0017074822,0.00036025554,-1.7285922240262153e-06,0.2500016391277313,-3.458796982158674e-05,3.682095439216937e-05,0.006786541780456901,0.0,-0.1266259,-0.059223913,0.74631304,4.930183470249176,235.1940218359232,1746.3130354881287
