t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,M,B,K
0.08300000000000006,0.5236094129741837,2.0943876736237987,0.00021923007795769672,-0.00016129980954955408,-0.0017315184557442828,0.00036621633956240515,-1.7307589313952931e-06,0.2500016083680385,-3.464550795082983e-05,3.492211843273312e-05,0.006794329467747438,0.0,5.0,350.0,2000.0
0.08400000000000006,0.5236096327670795,2.094387511830277,0.00022055531286403364,-0.00016261305318917364,-0.0017530599225675386,0.00037067014134589086,-1.7654834359170923e-06,0.25000164339704467,-3.481267403402407e-05,3.520643577434832e-05,0.006878305655411803,0.0,5.0,350.0,2000.0
0.08500000000000006,0.5236098538754643,2.094387348728767,0.00022186107109043238,-0.00016391583526940198,-0.0017745950516582407,0.0003751252853530139,-1.8003733269489341e-06,0.2500016787092305,-3.497627879085486e-05,3.5488488043095245e-05,0.006962264233678489,0.0,5.0,350.0,2000.0
0.08600000000000006,0.5236100762800422,2.0943871843296704,0.00022314771370807892,-0.00016520827408562978,-0.0017961239682998714,0.00037958174963739354,-1.835425081003761e-06,0.25000171430234364,-3.5136397700737967e-05,3.5768300851834006e-05,0.007046205518955586,0.0,5.0,350.0,2000.0
0.08700000000000006,0.5236102999618744,2.0943870186432725,0.00022441559411112396,-0.00016649048557424936,-0.001817646794455939,0.00038403951311790686,-1.8706352491737466e-06,0.2500017501741572,-3.5293104618707546e-05,3.604589930267218e-05,0.007130129818524192,0.0,5.0,350.0,2000.0
0.08800000000000006,0.5236105249023718,2.0943868516797433,0.00022566505819910168,-0.00016776258326817002,-0.001839163649285845,0.0003884985546315085,-1.9060004556037402e-06,0.2500017863224692,-3.544647182658204e-05,3.6321307977333374e-05,0.00721403743369361,0.0,5.0,350.0,2000.0
0.08900000000000007,0.5236107510832876,2.094386683449141,0.00022689644456355744,-0.00016902467850094866,-0.001860674648868487,0.0003929588537158179,-1.9415173958814425e-06,0.25000182274510213,-3.559657005410545e-05,3.659455098135261e-05,0.0072979286563665076,0.0,5.0,350.0,2000.0
0.09000000000000007,0.5236109784867099,2.0943865139614126,0.00022811008466156217,-0.0001702768803950966,-0.0018821799066571418,0.00039742039001439903,-1.977182835705138e-06,0.2500018594399021,-3.574346852378812e-05,3.6865651941544546e-05,0.007381803772359937,0.0,5.0,350.0,2000.0
0.09100000000000007,0.5236112070950549,2.094386343226398,0.0002293063029850088,-0.00017151929600143362,-0.0019036795332000353,0.0004018831436370424,-2.012993609079583e-06,0.25000189640473874,-3.5887234975812236e-05,3.7134634036174366e-05,0.007465663059560748,0.0,5.0,350.0,2000.0
0.09200000000000007,0.5236114368910598,2.0943861712538303,0.00023048541723089138,-0.0001727520303424914,-0.0019251736364999678,0.0004063470950872673,-2.048946617178027e-06,0.2500019336375048,-3.602793570517667e-05,3.740152000435485e-05,0.007549506789160862,0.0,5.0,350.0,2000.0
0.09300000000000007,0.5236116678577762,2.094385998053339,0.0002316477384550606,-0.0001739751864627999,-0.001946662322054868,0.00041081222478070954,-2.085038826815655e-06,0.250001971136115,-3.616563559385055e-05,3.7666332156933565e-05,0.007633335226160542,0.0,5.0,350.0,2000.0
0.09400000000000007,0.5236118999785636,2.0943858236344517,0.0002327935712385702,-0.00017518886561051388,-0.001968145692483332,0.0004152785144923535,-2.1212672687564993e-06,0.250002008898507,-3.630039812965718e-05,3.7929092415816226e-05,0.007717148627172762,0.0,5.0,350.0,2000.0
0.09500000000000007,0.5236121332370828,2.094385648006595,0.00023392321382465647,-0.00017639316702119354,-0.001989623848612355,0.00041974594476557373,-2.1576290368252593e-06,0.2500020469226394,-3.643228546754641e-05,3.8189822267153594e-05,0.007800947246752111,0.0,5.0,350.0,2000.0
